step,loss,ce_unweighted,lr
1,9.832914352416992,9.994307518005371,1.6129032258064516e-06
2,10.08259391784668,9.942325592041016,2.4193548387096776e-06
3,10.013545989990234,9.855241775512695,3.225806451612903e-06
4,10.131168365478516,9.755940437316895,4.032258064516129e-06
5,9.68725299835205,9.615360260009766,4.838709677419355e-06
6,9.598514556884766,9.481505393981934,5.64516129032258e-06
7,9.512014389038086,9.358642578125,6.451612903225806e-06
8,9.190031051635742,9.134605407714844,7.258064516129033e-06
9,9.316970825195312,9.10168170928955,8.064516129032258e-06
10,8.792251586914062,9.009578704833984,8.870967741935484e-06
11,9.202705383300781,8.989117622375488,9.67741935483871e-06
12,8.651576042175293,8.62372875213623,1.0483870967741936e-05
13,8.734489440917969,8.63416862487793,1.129032258064516e-05
14,8.533058166503906,8.848729133605957,1.2096774193548388e-05
15,8.595003128051758,8.545202255249023,1.2903225806451613e-05
16,8.68603515625,8.529829025268555,1.3709677419354839e-05
17,8.10997200012207,8.107766151428223,1.4516129032258066e-05
18,8.399974822998047,8.479864120483398,1.5322580645161292e-05
19,8.167158126831055,8.222237586975098,1.6129032258064517e-05
20,8.31574821472168,8.44434928894043,1.693548387096774e-05
21,8.183712005615234,8.225638389587402,1.774193548387097e-05
22,7.979128837585449,7.937363147735596,1.8548387096774193e-05
23,8.036706924438477,8.042140007019043,1.935483870967742e-05
24,8.017871856689453,7.973132133483887,2.0161290322580645e-05
25,8.239197731018066,8.291360855102539,2.0967741935483873e-05
26,7.901342391967773,7.997564315795898,2.1774193548387097e-05
27,7.887233734130859,8.105559349060059,2.258064516129032e-05
28,8.118255615234375,8.160350799560547,2.338709677419355e-05
29,7.791784286499023,7.894440650939941,2.4193548387096777e-05
30,7.761071681976318,7.925255298614502,2.5e-05
31,7.978091716766357,8.126619338989258,2.5806451612903226e-05
32,8.068603515625,8.038556098937988,2.661290322580645e-05
33,7.899887561798096,7.741558074951172,2.7419354838709678e-05
34,8.077657699584961,7.896093845367432,2.822580645161291e-05
35,7.7610650062561035,7.92203950881958,2.9032258064516133e-05
36,7.747117519378662,7.714202880859375,2.9838709677419357e-05
37,7.84335470199585,7.764171123504639,3.0645161290322585e-05
38,7.75607967376709,7.898686408996582,3.1451612903225806e-05
39,7.373410224914551,7.429690361022949,3.2258064516129034e-05
40,7.667813301086426,7.812645435333252,3.306451612903226e-05
41,7.680911064147949,7.6493964195251465,3.387096774193548e-05
42,7.917694091796875,7.718682765960693,3.467741935483872e-05
43,8.047428131103516,7.996366500854492,3.548387096774194e-05
44,7.824821949005127,7.622513294219971,3.6290322580645165e-05
45,7.649714469909668,7.774240970611572,3.7096774193548386e-05
46,7.3610429763793945,7.420755386352539,3.7903225806451614e-05
47,7.630072116851807,7.677302360534668,3.870967741935484e-05
48,7.201464653015137,7.212020397186279,3.951612903225806e-05
49,7.335289001464844,7.242863178253174,4.032258064516129e-05
50,7.514134407043457,7.686354637145996,4.112903225806452e-05
51,7.619540214538574,7.593269348144531,4.1935483870967746e-05
52,7.3964080810546875,7.30593204498291,4.2741935483870973e-05
53,7.644681930541992,7.386034965515137,4.3548387096774194e-05
54,7.2672810554504395,7.305994510650635,4.435483870967742e-05
55,7.212684631347656,7.312180042266846,4.516129032258064e-05
56,7.360572814941406,7.2313408851623535,4.596774193548387e-05
57,7.451331615447998,7.3539838790893555,4.67741935483871e-05
58,6.749077320098877,6.888497352600098,4.7580645161290326e-05
